status_bucket,num_goals,language,avg_goal_difficulty,nav_hours,poverty_hours,total_hours_lost,lifetime_hours,lifetime_days
citizen,2,en,11.5,9.6,259.7,269.3,5386.0,673.2
permanent_resident,5,en,12.0,19.1,326.3,345.4,6908.0,863.5
permanent_resident,1,es,7.0,20.2,515.9,536.1,10722.0,1340.2
undocumented,1,es,12.0,34.8,1032.7,1067.5,21350.0,2668.8
permanent_resident,1,en,9.0,16.4,350.8,367.2,7344.0,918.0
undocumented,3,es,11.67,35.5,1067.0,1102.5,22050.0,2756.2
DACA,3,es,11.67,40.0,761.9,801.9,16038.0,2004.8
citizen,2,en,13.0,23.2,246.1,269.3,5386.0,673.2
undocumented,1,en,7.0,14.9,754.7,769.6,15392.0,1924.0
permanent_resident,3,es,10.0,18.3,479.7,498.0,9960.0,1245.0
undocumented,2,en,8.0,35.7,753.7,789.4,15788.0,1973.5
DACA,4,en,10.5,20.7,534.8,555.5,11110.0,1388.8
citizen,2,en,13.5,14.3,265.0,279.3,5586.0,698.2
undocumented,4,en,13.25,30.7,727.1,757.8,15156.0,1894.5
citizen,1,es,18.0,27.1,400.4,427.5,8550.0,1068.8
DACA,3,es,10.0,33.4,700.6,734.0,14680.0,1835.0
DACA,1,en,9.0,14.9,511.0,525.9,10518.0,1314.8
DACA,3,en,11.0,19.9,545.3,565.2,11304.0,1413.0
undocumented,1,en,7.0,11.4,766.6,778.0,15560.0,1945.0
citizen,5,es,12.0,22.5,375.0,397.5,7950.0,993.8
citizen,3,en,10.0,1.0,269.8,270.8,5416.0,677.0
citizen,3,en,13.67,11.5,260.5,272.0,5440.0,680.0
citizen,1,es,9.0,16.2,365.3,381.5,7630.0,953.8
undocumented,1,en,9.0,5.4,717.6,723.0,14460.0,1807.5
DACA,3,en,11.67,14.5,555.0,569.5,11390.0,1423.8
undocumented,2,en,8.0,17.6,717.1,734.7,14694.0,1836.8
undocumented,1,en,9.0,26.1,755.3,781.4,15628.0,1953.5
citizen,2,es,15.0,19.8,374.8,394.6,7892.0,986.5
